"author_userName","author_createdAt","obfuscated_userName","author_profile_bio_description","author_location","author_followers","author_following","author_isBlueVerified"
"dealwithBARBIE","2009-06-25 12:07:28+00:00","@368032252172651","2016 Fantasporto (Portugal) International Best Actress • 2014 Cinemalaya Best Supporting Actress • 9th Ani Ng Dangal Awardee","",1387824,428,True
"dearscarjames","2009-04-19 12:21:31+00:00","@627145326926585","PR/adprom at @ocrecordsph | Coffeeist at Euphoric Sips | Let’s discuss: banaagjamesalvin@gmail.com","Metro Manila, Philippines",112026,1033,False
"Dennis_Warrior_","2010-02-06 09:54:48+00:00","@816077972307552","I’m a Ninja 🥷 | Digital Nomad | Sygma Studios| IG: dennis_warrior","NCR 🇵🇭",65503,2084,True
"DepEd_PH","2010-10-18 01:32:36+00:00","@767491417819876","The executive agency for basic education of the Republic of the Philippines. For comments, queries, or complaints, email us at action@deped.gov.ph","Pasig City, Philippines",3602648,225,True
"dingdongbahan","2017-08-16 08:30:12+00:00","@431350195952465","Host and Actor • Managed by Star Magic, ABS-CBN, Ms. Cynthia Jordan & Kath Angeles. Contacts thru work.dongpat@gmail.com","Taguig",125605,225,True
"direktothepoint","2016-09-04 16:15:58+00:00","@7462029206750","Enjoy the little things. Dream big dreams!","",55311,372,False
"djtonytoni","2009-03-18 06:38:47+00:00","@582086956207824","""Attitude of Gratitude"" Magic 89.9 Mon-Thurs 9pm @BoysNightOut899  @thesexyminds @_wherestony","Manila 📍",166099,5303,False
"Doc4Dead","2011-12-10 07:04:56+00:00","@760045333861206","Forensic Pathologist. Professor XChairMa StageMa. AA-Bangkay Party. ProDEAD. Bukas-Nitso Gang","Philippines",194563,552,False
"dogeai_gov","2024-12-24 16:40:13+00:00","@784040572189100","Autonomous AI uncovering waste & inefficiencies in government spending & policy.","Washington DC",131554,14,True
"DOHgovph","2010-09-03 06:06:53+00:00","@635859183001931","The official twitter account of the Department of Health Philippines.","Manila, Philippines",751173,65,False
"DONATORSPH","2016-11-24 13:35:54+00:00","@207199937674386","The Official Fan Group of @donnypangilinan 💙✨ We are bound to protect and support Donny, our first and only priority! 🫶🏻 (💌 Viber: 09165174212)","EST. 2016",137708,107,True
"DonBelleOFC","2019-11-07 03:40:41+00:00","@211160740232893","We are Bubblies. Solid fan group of Belle Mariano & Donny Pangilinan, also known as DONBELLE. Followed by @donnypangilinan and @bellemariano02 🖤❤️","WORLDWIDE ",305073,150,True
"DOTrPH","2012-03-16 03:34:42+00:00","@660971977848663","Official Twitter Account of #DOTrPH | Working to provide a comfortable, accessible, safe, sustainable, and affordable transportation services for the Filipinos.","Mandaluyong City, Metro Manila",283339,73,False
"DPWHph","2014-05-21 05:38:21+00:00","@392192773701614","Official account of the Department of Public Works and Highways (DPWH) - the engineering and construction arm of the government of the Philippines.","Port Area, Manila, PH",72557,112,False
"DrTonyLeachon","2012-02-23 14:15:29+00:00","@220086054806635","TOFIL Awardee in Medicine 2010. Past President, Philippine College of Physicians. Health Reform Advocate.Ex Special Adviser National TaskForce COVID 19 🇵🇭","",87620,4616,True
"dswdserves","2012-10-02 05:39:51+00:00","@61701542896124","The official account of the Department of Social Welfare and Development (DSWD) - Central Office","Quezon City, Philippines",91277,621,True
"dusbiofc","2014-02-22 10:06:02+00:00","@818354420952974","All for Dustin and Bianca | Temporary Account | Fan Account Only","",242867,35,True
"dustinyuu","2018-08-31 14:46:41+00:00","@868970838523366","","Manila City, National Capital Region",208081,72,False
"dzbb","2012-01-12 08:18:11+00:00","@430526661831933","The official X account of Super Radyo DZBB 594 kHz, the flagship AM radio station of GMA Network, Inc.","Republic of the Philippines",267278,992,False
"dzrhnews","2009-09-17 00:35:08+00:00","@982646580214281","The official X account of MBC Media Group's flagship radio station DZRH 666 kHz: Una sa Pilipinas, Una sa Pilipino","Manila, Philippines",144484,1050,True
"EdsonCGuido","2015-07-19 16:21:52+00:00","@964523599139071","TV5 Chief Data & Elections Analyst.
Smart Communications Head of Strategy Management. Former ABS-CBN Data Analytics Head. Daily COVID-19 stats 📊📈","",87485,292,False
"EngR_BeNtOn","2021-04-01 01:43:03+00:00","@962605750295607","Just so ordinary, Marine Engineer 🌸💮🌷","Cebu City, Central Visayas",127130,215,False
"EsquirePH","2011-03-24 05:31:58+00:00","@64831734765682","The official Twitter of Esquire Philippines.","Manila, PH",354895,94,False
"eva_lequeen","2021-10-21 07:54:05+00:00","@234256566099400","President & CEO @ The Playhouse l The ELQ Channel | evalequeen@theplayhouse.ph | werk@theplayhouse.ph","National Capital Region, Repub",100681,542,True
"FashionPulis","2009-04-20 17:26:55+00:00","@630293266667219","close to 1.5 BILLION pageviews","",274070,0,False
"fearlessanytime","2021-03-10 08:31:57+00:00","@824972226791883","All of my enemies, started out as friends.

PokéGO:1798 9596 1126","Yn Edri Eternos, Athel Loren",69375,1560,False
"fischldiokno","2020-08-24 22:44:28+00:00","@626580377812037","saw taylor swift and sabrina carpenter 03/07/24 • dm for tg subscription of 🔞vids• dont take my tweets seriously pls #FreePalestine 🇵🇸","lunar valleys in my mind 🌙",78625,6063,False
"fttm_ph","2020-02-05 07:33:39+00:00","@164497845455872","Follow The Trend Movement. 🇵🇭 pinoy pop culture + satire + sociopolitics https://t.co/XXxlr01ItG 📧 hello@fttm.ph","Republic of the Philippines",53223,95,True
"gabbi","2011-08-06 10:35:26+00:00","@338481384978355","Instagram: @gabbi","📍 south girl",887991,322,True
"gabmonstere","2013-06-12 04:18:56+00:00","@720370803974566","just ur regular pop culture junkie ⚡️• saw gaga 5/18","ig: theianbautista ♡",61780,1213,False
"gianbernardino_","2015-03-18 14:49:00+00:00","@299832840210670","@cupofjoemusic vocalist","baguio city",102612,891,False
"GMA_PA","2015-05-26 01:45:58+00:00","@177472899322393","This is the official Twitter account of GMA Public Affairs. Follow us on Facebook and IG: GMAPublicAffairs","National Capital Region",273153,189,False
"gmanetwork","2009-05-12 07:37:25+00:00","@118642231280618","This is the official Twitter account of GMA Network. Follow us on Instagram @gmanetwork.","Philippines",1770700,627,True
"gmanews","2009-05-12 07:14:09+00:00","@225867148354714","Welcome to the official X account of GMA Integrated News in the Philippines, the News Authority of the Filipino.","Philippines",6450784,674,True
"gretchenho","2011-04-17 14:45:34+00:00","@747203202544115","Woman-In-Action. The best way to learn and make a difference is to engage with the world. 👣✍🏻🌍🇵🇭","Manila, Philippines",929278,1927,False
"grok","2023-11-04 04:52:34+00:00","@515433734353119","https://t.co/fqNKQSiLQB
@grok it","wherever you are",6603646,3,True
"GuntherEagleman","2021-01-31 03:35:19+00:00","@302630543166588","David J. Freeman - Political Commentator - America First - MAGA - Christian","CA to Texas in 2007",1567176,101899,True
"hecklerforever8","2018-07-27 22:25:52+00:00","@951074506968504","""The problem with political jokes is they get elected."" | Political Humor • Satire • UP Fighting Maroons • Quiz Shows • ‘90s music • @Lakers @KobeBryant","",81924,824,False
"HouseofRepsPH","2016-08-25 04:30:09+00:00","@268528071035300","Official account of the House of Representatives of the Philippines. https://t.co/tWxtBffNzq https://t.co/tfS31z70g6","Quezon City",66751,108,True
"iamJulianMiguel","2016-09-28 14:28:53+00:00","@804774560230856","Single Dad, DM me for anything. Follow my other account @julianmiggy 🏹","Tokyo, Japan",55465,4456,True
"iamkarendavila","2010-03-01 01:48:31+00:00","@885932131248309","UN Women Nat’l Goodwill Ambassador 🇺🇳 TOYM Awardee, 2008. TOWNS Awardee, 2013. YGL, World Economic Forum","Philippines",3394331,727,True
"iamsuperbianca","2009-04-18 03:00:09+00:00","@762646581760778","Television host, writer, advocate 🇵🇭","Philippines",7330715,734,True
"IanEsguerra","2009-04-28 06:01:27+00:00","@574119407300344","Facts First podcast | Weeknights, 8:30 pm, on YouTube, Facebook, & Twitter | IG: christianvesguerra","Manila",94461,971,False
"ICANdecide","2017-04-07 19:11:40+00:00","@403499701560436","ICAN's dedicated 2 the eradication of man-made disease. By engaging in Legal and Scientific action ICAN puts the power of real health information in your hands.","Austin, TX",73637,58,True
"imchristan","2009-09-14 05:23:58+00:00","@858159866780689","#Bitcoin 
Mensan. Cryptonian. Entrepreneur. Content Creator. Harsh Critic. Provoker. Bored Ape #6906

 Vision: 1 Million Filipinos owning 0.1BTC each","Philippines",56926,362,True
"Imjanedeleon","2013-10-31 14:34:20+00:00","@113691528198687","Actress 🇵🇭","MNL | LGN",192928,204,True
"InquirerBiz","2012-03-16 03:51:59+00:00","@792659403839838","The official Twitter account of the Inquirer Group's business news team.","Philippines",55380,119,False
"inquirerdotnet","2008-07-16 00:36:41+00:00","@460436796410133","Balanced News, Fearless Views. https://t.co/AuYsgsnIPH","Makati City",3859039,1772,True
"interaksyon","2011-01-25 11:24:31+00:00","@568503467839148","Your thoughts on the news. https://t.co/A8Xm0H80qD","Philippines",205054,112,True
"iskolarium","2013-12-01 12:49:47+00:00","@266167844425749","Visual Artist l Maroon l Taong Halaman l Furdad of Tiago l Kritiko, Hindi Panatiko l Skip the Hi's and Hello's. State your intention when DMing. Thanks!","",86358,1919,False
"its_giancarlo19","2020-03-17 12:31:55+00:00","@223518135129667","JINCHURIKI DANCERIST ng hagdanan KAKAMPINK 🌸🌸🌸🌷🌷🌷 Maingay KSP FurDAD 🐺🐕🐕‍🦺 40 year old babyboy 5’4","Lungsod ng Pasig, Pambansang P",156401,677,False
"ItsACsLife","2009-12-06 23:48:31+00:00","@293929408961562","ultimate multidogshow superstar | wag seryosohin | ✉️: ItsACsLife@gmail.com","",296755,794,False
"ivanmayrina","2010-06-25 16:39:14+00:00","@60196334853176","Reporter/Anchor, GMA News and Public Affairs","Philippines",131094,846,False
"jaicabajar","2009-11-10 08:55:20+00:00","@301255784819124","1/2 Filipino, 1/2 Asleep. Internist. Pulmonologist.","Republic of the Philippines",214987,882,False
"jcpunongbayan","2010-09-15 09:04:18+00:00","@493592062383126","Filipino economist. 🇵🇭🏳️‍🌈 Asst Prof, UP School of Economics @upsediliman. Columnist, @rapplerdotcom. Author, #FalseNostalgia. #TOYM 2023 Awardee.","Metro Manila",88250,3986,False
"JerryGracio","2016-12-30 07:34:02+00:00","@975452594351818","Waray | Filipino | Writer | Cultural & Development Worker | Secretary-General, KAPAMILYA ng Manggagawang Pilipino","Valenzuela City",55616,3193,False
"joaquin_closet","2011-01-22 19:09:54+00:00","@370776350338203","","Republic of the Philippines",101324,1013,False
"Joseph_Morong","2008-08-22 17:16:15+00:00","@288092325482949","Reporter, GMA7. studying to be a painter. l😘 Chichay/Robie/Saver/Fuj/Jake 👀 “Fact or Fakehttps://bit.ly/2YgYIUuzW. “Stand for Truthhttps://bit.ly/3CLZsoWm4","",222867,6842,False
"jpsoriano","2009-12-08 09:42:02+00:00","@90425491279694","📹 Reporter and Anchor at GMA Integrated News","Manila, Philippines",61345,4528,False
"jsarahina","2016-11-07 18:23:28+00:00","@571561334277241","Drone Guy | Travel Photography | Tech | https://t.co/3uubh2C7bq","Makati City",189626,588,False
"junepineda8","2019-03-19 02:30:51+00:00","@686600434831547","ifbap Ultra PATRIOT,NO DM,support our troops,Trump","National Capital Region, Repub",115600,108826,True
"KafosoMo","2013-08-04 00:24:33+00:00","@138597082847997","chismosa","Kamuning cor. Ignacia",58772,452,False
"KakanTuring","2009-03-29 06:12:11+00:00","@658014619910474","","",68944,1660,False
"KapamilyaTFC","2013-10-31 03:11:39+00:00","@103611682696457","Welcome to the official community page of TFC! The home of #TeamAbroad! Follow us and get exclusive updates on Kapamilya shows, events & celebs worldwide!","Worldwide",59364,738,False
"KarlBauuu","2012-01-30 13:48:18+00:00","@174548517099412","Artist 🌈 Athlete 🏃🏻‍♂️ Architect 🏘 | ENFP | #karlpenter","",50047,957,False
"kdestrada_","2018-11-09 01:36:51+00:00","@877463854405930","MNL | 🇵🇭","",126166,0,False
"kikopangilinan","2009-02-26 07:41:31+00:00","@886466108474189","Husband. Father. Farmer. Lawyer.","Philippines",1222851,1153,True
"kingdc012","2019-12-30 12:39:54+00:00","@439398965435998","| I’m dumping all my selfies and thoughts here in Twitter | Taken |","National Capital Region, Repub",95772,723,False
"KM_Jessica_Soho","2010-11-25 15:00:42+00:00","@530465812194710","The official Twitter account of #KMJS. This account is managed by @GMA_PA Social Media Team and does not necessarily reflect the views of our host.","Philippines",1134774,62,True
"KrisAquinoWORLD","2011-01-03 12:23:17+00:00","@243712156550633","This is the Official Fan Page of the Queen of All Media @krisaquino214, recognized by her & own K♥️ - KCAP Team #KCAarmy","Quezon City",146091,85,False
"lianbuan","2009-03-31 10:26:23+00:00","@185383840993067","Investigative reporter / Justice, corruption, human rights cluster @rapplerdotcom | LLM Human Rights @BirkbeckLaw | @CheveningFCDO Scholar 2022 | @nujp","Manila",56185,1539,False
"lilyganados","2019-12-01 16:09:12+00:00","@21511923929102","Social Media Siren. Lider ng mga BBW. Queen Zombie. Parody Account","National Capital Region",113595,6255,True
"lyndajumilla","2010-09-01 11:19:31+00:00","@797357977704597","jazz birru wuxia journalism","Republic of the Philippines",73486,61,False
"MacLopez769","2019-04-22 15:37:52+00:00","@701924561848438","Social Media dissident and frustrated porn wannabe auteur","",72589,339,True
"MaeDianeAzores","2009-08-01 03:26:06+00:00","@171201453533091","Commit to the Lord whatever you do and your plans will succeed. // IG: @mdianeazores        📧 attymdmazores@gmail.com","",50994,843,False
"MalacananEvents","2017-12-17 02:20:22+00:00","@82000787115977","Escape the typical. Experience the presidential. (Parody Account)","Republic of the Philippines",113927,27,False
"maltiq","2008-11-27 11:32:52+00:00","@880917615908908","Founder/Chairperson. Author. Strategist. Columnist @TheManilaTimes. Designed & managed int’l, national & local campaigns since 1995. AB PolSci, MPA, MA, PhD (c)","Manila City",58536,3723,True
"manayleila","2015-05-14 02:33:37+00:00","@375868502461206","Lawyer | Former Senator, DOJ Sec, CHR Chair | Human Rights Defender, Social Justice Champion | Prisoner of Conscience 🌸","",193620,401,True
"manilabulletin","2008-07-10 07:55:26+00:00","@271091238095480","Breaking news and stories from different sides. RTs from our journalists. Unparalleled journalism in the Philippines since 1900. #BeFullyInformed","Manila, Philippines",1181534,189,True
"maracepeda","2009-06-27 03:17:41+00:00","@790489017757408","Philippines Correspondent for @straits_times | AJF ‘21 fellow | @UNRAF ‘23 fellow | 📥 cmara@sph.com.sg | Views are my own.","Manila, Philippines",60803,1703,True
"mariaressa","2009-04-23 16:57:05+00:00","@966035680810647","Idealist. Cynic. Pragmatist. Journalist. Author. CEO, Rappler 2021 Nobel Peace Prize Laureate","Philippines",523118,5424,True
"marino_densyti","2017-08-08 04:56:56+00:00","@182704357985788","@SupladoDaddy 's | #tumindig | 24/7 H | Phoenix | Swiftie | Gaymer | Furdad na pala dede | TeleTummies -𝟦° St.FU","WONDERLAND",62794,7077,False
"MarioNawfal","2020-10-22 14:42:25+00:00","@627517386359159","Largest Show on X | Investor 700+ Startups | Founder @ibcgroupio , https://t.co/sw7OQ5KgAW","",2503513,49206,True
"maxieandreison","2020-06-04 11:31:29+00:00","@970035676590771","For bookings/inquiries: andreisonmaxie@gmail.com Queen of the universe #teammaxie","",55327,51,False
"McCulloughFund","2023-07-20 19:42:07+00:00","@1545006684669","Investigative scholarship, analysis, media commentary, public and physician education, justice, and public policy.","Dallas, TX USA",65970,307,False
"MillennialOfMNL","2012-02-22 13:05:51+00:00","@13318763139861","📩: millennialsofmnl@gmail.com","Republic of the Philippines",188263,1996,False
"MissMarisRacal","2012-07-06 23:22:18+00:00","@1437038550781","","vulcanizing shop",4264856,553,True
"Missy_Nanay","2016-03-19 08:55:46+00:00","@466740836024025","A crypto-savvy optimist who's been trading since 2020. All Ads are paid. NFA & DYOR.  #iwonmissy / TG Channel : https://t.co/OekSxjAQc9","",114829,523,True
"MJ_Lastimosa","2010-09-22 05:16:46+00:00","@961521669469049","Acting/Hosting, Engineer, Miss Universe- Philippines 2014 --- for inquiries 📧 mjlastimosainquiry@gmail.com","Manila, Philippines",344754,646,False
"mjfelipe","2009-06-19 10:21:23+00:00","@495940144703352","Entertainment/Lifestyle Journalist for @ABSCBNNews","MNL PH",548211,854,True
"mlq3","2007-04-11 16:12:12+00:00","@499744014027672","I write on politics, history, culture; also a speechwriter. All my stuff is at https://t.co/tzvJM7XpLX","Makati City",222011,3354,False
"MMDA","2010-07-27 17:31:12+00:00","@766445741838227","Official Twitter Account of the Metropolitan Manila Development Authority | Hotline 136 | digitalmedia@mmda.gov.ph | VIBER 0956-6632-221","Metro Manila",4647822,123,True
"mnlstandardph","2012-01-26 12:46:45+00:00","@355061952774053","Manila Standard 🌏🇵🇭 Your trusted news source https://t.co/rmQCnNSOvI🌐 digital.manilastandard@gmail.com","Manila, Philippines",59707,224,True
"MyLordBebo","2019-04-26 16:06:36+00:00","@593899036426886","Anti woke - Anti fake news - Anti hypocrisy - send me content in pm - support me: https://t.co/xet7VLoADc - buddy account @bebobrics","Europa",703163,275,True
"nababaha","2010-10-26 02:28:37+00:00","@157358053166112","Disaster scientist, UP Professor, dashing husband :-) and father to three munchkins. Driver of UP NOAH.","Philippines",68994,1436,True
"NDRRMC_OpCen","2010-10-16 02:01:45+00:00","@21633871621785","Welcome to the official X (Twitter) account of the National Disaster Risk Reduction & Management Council, managed by OCD - News and Information Office","Camp Aguinaldo, Quezon City",520439,45,False
"ndtv","2009-05-01 20:34:48+00:00","@355770071691286","Breaking news alerts
Insta https://t.co/QrV2OUie6Q
WhatsApp https://t.co/WriOE8t4rq
Download App: https://t.co/Q2YKIJk45r","India",18101432,18,True
"News5PH","2010-04-15 04:08:32+00:00","@589029215591253","The Official Twitter account of News5 📲FB/IG/YT/TikTok: @News5Everywhere 📧: News5Aksyon@news5.com.ph","Philippines",811840,2260,True
"newstart_2024","2019-03-23 19:10:26+00:00","@210416027112503","DM for removals/credit
If we cannot do good, let us at least not do evil.","",360417,422,True
"newswatchplusph","2014-09-15 16:27:24+00:00","@325002683734926","News and narratives that matter.","Philippines",1974155,220,True
"nexta_tv","2013-09-21 21:24:04+00:00","@590212391657456","The largest Eastern European media. To let the world know.

Our website: https://t.co/4voPija7tJ
Become our patron: https://t.co/fOGkarNq2c","",1270481,216,True
"NigeriaStories","2019-03-09 09:21:12+00:00","@9881941870936","Facts and amazing stories from Nigeria |

Don’t forget to turn our notification ON 🔔| Email: Contact@nigeriastories.com","Nigeria",718170,1,True
"NikkeiAsia","2011-12-14 05:17:05+00:00","@553341335611922","The latest headlines from Nikkei Asia. 
Sign up for our newsletters: https://t.co/qUtJViCHmb  

Follow our journalists here: https://t.co/Y1vHImzwy1","Tokyo, New York",415601,84,False
"OCCRP","2011-06-29 09:57:31+00:00","@345970377132980","We expose crime and corruption so the public can hold power to account. 

Support: https://t.co/osICI4Lcox 

RT ≠ endorsement","Global",197504,2219,True
"ofc_iwant","2012-05-22 20:37:24+00:00","@31673730077835","Home of Filipino Feels.","Philippines",351660,1223,False
"officialLRT1","2015-09-08 12:45:26+00:00","@609082434516304","Private operator of #LRT1 🇵🇭 | https://t.co/CwLELpdsvb","Metro Manila, Philippines",55388,155,False
"ogie_rosa","2016-09-11 13:18:06+00:00","@445576777386796","Two-time Palanca Award-winning writer. Research/factchecking consultant.","",72314,32894,False
"OmbudsmanPh","2013-09-24 02:15:32+00:00","@587990440581334","Official X (twitter) account of the Office of the Ombudsman","WE PROTECT",59153,359,False
"OneSportsPHL","2011-05-28 14:09:13+00:00","@913663878775810","Andito na lahat ng trip na sports! NBA, PBA, UAAP, PVL, FIBA, Gilas Pilipinas, Alas Pilipinas, Spikers' Turf, ONE Championship, MPL, Olympics at marami pa!","Philippines",345110,559,False
